Source,Winner,Winner Score,Loser,Loser Score
TylerSullivan,Commanders,24,Packers,23
TylerSullivan,Eagles,26,Chiefs,20
TylerSullivan,Patriots,24,Dolphins,20
TylerSullivan,Lions,30,Bears,20
TylerSullivan,Buccaneers,23,Texans,20
TylerSullivan,Bills,30,Jets,20
TylerSullivan,Ravens,33,Browns,17
TylerSullivan,Bengals,27,Jaguars,24
TylerSullivan,Rams,23,Titans,17
TylerSullivan,Cowboys,28,Giants,20
TylerSullivan,Seahawks,24,Steelers,21
TylerSullivan,49ers,26,Saints,19
TylerSullivan,Cardinals,30,Panthers,21
TylerSullivan,Broncos,24,Colts,20
TylerSullivan,Vikings,24,Falcons,21
TylerSullivan,Chargers,27,Raiders,24
PetePrisco,Packers,27,Commanders,20
PetePrisco,Ravens,30,Browns,17
PetePrisco,Bengals,24,Jaguars,23
PetePrisco,Cowboys,28,Giants,17
PetePrisco,Lions,30,Bears,17
PetePrisco,Dolphins,27,Patriots,19
PetePrisco,49ers,22,Saints,20
PetePrisco,Bills,24,Jets,21
PetePrisco,Steelers,26,Seahawks,19
PetePrisco,Rams,21,Titans,17
PetePrisco,Cardinals,30,Panthers,17
PetePrisco,Colts,24,Broncos,23
PetePrisco,Chiefs,30,Eagles,28
PetePrisco,Vikings,23,Falcons,21
PetePrisco,Texans,23,Bucs,17
PetePrisco,Chargers,31,Raiders,30
BillBender,Packers,24,Commanders,23
BillBender,Bengals,29,Jaguars,22
BillBender,Cowboys,30,Giants,19
BillBender,Lions,31,Bears,22
BillBender,Rams,28,Titans,16
BillBender,Dolphins,22,Patriots,20
BillBender,49ers,31,Saints,24
BillBender,Bills,27,Jets,21
BillBender,Steelers,26,Seahawks,19
BillBender,Ravens,29,Browns,17
BillBender,Broncos,28,Colts,21
BillBender,Cardinals,30,Panthers,20
BillBender,Chiefs,30,Eagles,27
BillBender,Vikings,21,Falcons,20
BillBender,Buccaneers,29,Texans,26
BillBender,Chargers,24,Raiders,17
DataSkrive,Packers,28,Commanders,22
DataSkrive,Rams,28,Titans,16
DataSkrive,Steelers,22,Seahawks,21
DataSkrive,Bills,31,Jets,17
DataSkrive,Cowboys,26,Giants,18
DataSkrive,Bengals,30,Jaguars,18
DataSkrive,Dolphins,25,Patriots,16
DataSkrive,Lions,35,Bears,12
DataSkrive,49ers,24,Saints,23
